VB:"hoover" VBZ:"hoovers" VBG:"hoovering" VBD:"hoovered" VBN:"hoovered"
VB:"aggravate" VBZ:"aggravates" VBG:"aggravating" VBD:"aggravated" VBN:"aggravated"
VB:"aggregate" VBZ:"aggregates" VBG:"aggregating" VBD:"aggregated" VBN:"aggregated"
VB:"aggrieve" VBZ:"aggrieves" VBG:"aggrieving" VBD:"aggrieved" VBN:"aggrieved"
VB:"agitate" VBZ:"agitates" VBG:"agitating" VBD:"agitated" VBN:"agitated"
VB:"agree" VBZ:"agrees" VBG:"agreeing" VBD:"agreed" VBN:"agreed"
VB:"aid" VBZ:"aids" VBG:"aiding" VBD:"aided" VBN:"aided"
VB:"ail" VBZ:"ails" VBG:"ailing" VBD:"ailed" VBN:"ailed"
VB:"aim" VBZ:"aims" VBG:"aiming" VBD:"aimed" VBN:"aimed"
VB:"air" VBZ:"airs" VBG:"airing" VBD:"aired" VBN:"aired"
VB:"alarm" VBZ:"alarms" VBG:"alarming" VBD:"alarmed" VBN:"alarmed"
VB:"alert" VBZ:"alerts" VBG:"alerting" VBD:"alerted" VBN:"alerted"
VB:"alienate" VBZ:"alienates" VBG:"alienating" VBD:"alienated" VBN:"alienated"
VB:"alight" VBZ:"alights" VBG:"alighting" VBD:"alighted" VBN:"alighted"
VB:"align" VBZ:"aligns" VBG:"aligning" VBD:"aligned" VBN:"aligned"
VB:"allay" VBZ:"allays" VBG:"allaying" VBD:"allayed" VBN:"allayed"
VB:"allege" VBZ:"alleges" VBG:"alleging" VBD:"alleged" VBN:"alleged"
VB:"alleviate" VBZ:"alleviates" VBG:"alleviating" VBD:"alleviated" VBN:"alleviated"
VB:"allocate" VBZ:"allocates" VBG:"allocating" VBD:"allocated" VBN:"allocated"
VB:"allot" VBZ:"allots" VBG:"allotting" VBD:"allotted" VBN:"allotted"
VB:"allow" VBZ:"allows" VBG:"allowing" VBD:"allowed" VBN:"allowed"
VB:"alloy" VBZ:"alloys" VBG:"alloying" VBD:"alloyed" VBN:"alloyed"
VB:"allude" VBZ:"alludes" VBG:"alluding" VBD:"alluded" VBN:"alluded"
VB:"allure" VBZ:"allures" VBG:"alluring" VBD:"allured" VBN:"allured"
VB:"ally" VBZ:"allies" VBG:"allying" VBD:"allied" VBN:"allied"
VB:"alter" VBZ:"alters" VBG:"altering" VBD:"altered" VBN:"altered"
VB:"alternate" VBZ:"alternates" VBG:"alternating" VBD:"alternated" VBN:"alternated"
VB:"amalgamate" VBZ:"amalgamates" VBG:"amalgamating" VBD:"amalgamated" VBN:"amalgamated"
VB:"amass" VBZ:"amasses" VBG:"amassing" VBD:"amassed" VBN:"amassed"
VB:"amaze" VBZ:"amazes" VBG:"amazing" VBD:"amazed" VBN:"amazed"
VB:"amble" VBZ:"ambles" VBG:"ambling" VBD:"ambled" VBN:"ambled"
VB:"ambuscade" VBZ:"ambuscades" VBG:"ambuscading" VBD:"ambuscaded" VBN:"ambuscaded"
VB:"ambush" VBZ:"ambushes" VBG:"ambushing" VBD:"ambushed" VBN:"ambushed"
VB:"ameliorate" VBZ:"ameliorates" VBG:"ameliorating" VBD:"ameliorated" VBN:"ameliorated"
VB:"amend" VBZ:"amends" VBG:"amending" VBD:"amended" VBN:"amended"
VB:"amortize" VBZ:"amortizes" VBG:"amortizing" VBD:"amortized" VBN:"amortized"
VB:"amount" VBZ:"amounts" VBG:"amounting" VBD:"amounted" VBN:"amounted"
VB:"amplify" VBZ:"amplifies" VBG:"amplifying" VBD:"amplified" VBN:"amplified"
VB:"amputate" VBZ:"amputates" VBG:"amputating" VBD:"amputated" VBN:"amputated"
VB:"amuse" VBZ:"amuses" VBG:"amusing" VBD:"amused" VBN:"amused"
VB:"anaesthetize" VBZ:"anaesthetizes" VBG:"anaesthetizing" VBD:"anaesthetized" VBN:"anaesthetized"
VB:"analyse" VBZ:"analyses" VBG:"analysing" VBD:"analysed" VBN:"analysed"
VB:"analyze" VBZ:"analyzes" VBG:"analyzing" VBD:"analyzed" VBN:"analyzed"
VB:"anathematize" VBZ:"anathematizes" VBG:"anathematizing" VBD:"anathematized" VBN:"anathematized"
VB:"anchor" VBZ:"anchors" VBG:"anchoring" VBD:"anchored" VBN:"anchored"
VB:"anesthetize" VBZ:"anesthetizes" VBG:"anesthetizing" VBD:"anesthetized" VBN:"anesthetized"
VB:"anger" VBZ:"angers" VBG:"angering" VBD:"angered" VBN:"angered"
VB:"angle" VBZ:"angles" VBG:"angling" VBD:"angled" VBN:"angled"
VB:"angle-park" VBZ:"angle-parks" VBG:"angle-parking" VBD:"angle-parked" VBN:"angle-parked"
VB:"anglicize" VBZ:"anglicizes" VBG:"anglicizing" VBD:"anglicized" VBN:"anglicized"
VB:"animadvert" VBZ:"animadverts" VBG:"animadverting" VBD:"animadverted" VBN:"animadverted"
VB:"animate" VBZ:"animates" VBG:"animating" VBD:"animated" VBN:"animated"
VB:"anneal" VBZ:"anneals" VBG:"annealing" VBD:"annealed" VBN:"annealed"
VB:"annex" VBZ:"annexes" VBG:"annexing" VBD:"annexed" VBN:"annexed"
VB:"annihilate" VBZ:"annihilates" VBG:"annihilating" VBD:"annihilated" VBN:"annihilated"
VB:"annotate" VBZ:"annotates" VBG:"annotating" VBD:"annotated" VBN:"annotated"
VB:"announce" VBZ:"announces" VBG:"announcing" VBD:"announced" VBN:"announced"
VB:"annoy" VBZ:"annoys" VBG:"annoying" VBD:"annoyed" VBN:"annoyed"
VB:"annul" VBZ:"annuls" VBG:"annulling" VBD:"annulled" VBN:"annulled"
VB:"annunciate" VBZ:"annunciates" VBG:"annunciating" VBD:"annunciated" VBN:"annunciated"
VB:"anoint" VBZ:"anoints" VBG:"anointing" VBD:"anointed" VBN:"anointed"
VB:"answer" VBZ:"answers" VBG:"answering" VBD:"answered" VBN:"answered"
VB:"antagonize" VBZ:"antagonizes" VBG:"antagonizing" VBD:"antagonized" VBN:"antagonized"
VB:"antedate" VBZ:"antedates" VBG:"antedating" VBD:"antedated" VBN:"antedated"
VB:"anticipate" VBZ:"anticipates" VBG:"anticipating" VBD:"anticipated" VBN:"anticipated"
VB:"ape" VBZ:"apes" VBG:"aping" VBD:"aped" VBN:"aped"
VB:"apologize" VBZ:"apologizes" VBG:"apologizing" VBD:"apologized" VBN:"apologized"
VB:"apostrophize" VBZ:"apostrophizes" VBG:"apostrophizing" VBD:"apostrophized" VBN:"apostrophized"
VB:"appal" VBZ:"appals" VBG:"appalling" VBD:"appalled" VBN:"appalled"
VB:"apparel" VBZ:"apparels" VBG:"apparelling" VBD:"apparelled" VBN:"apparelled"
VB:"appeal" VBZ:"appeals" VBG:"appealing" VBD:"appealed" VBN:"appealed"
VB:"appear" VBZ:"appears" VBG:"appearing" VBD:"appeared" VBN:"appeared"
VB:"appease" VBZ:"appeases" VBG:"appeasing" VBD:"appeased" VBN:"appeased"
VB:"append" VBZ:"appends" VBG:"appending" VBD:"appended" VBN:"appended"
VB:"appertain" VBZ:"appertains" VBG:"appertaining" VBD:"appertained" VBN:"appertained"
VB:"applaud" VBZ:"applauds" VBG:"applauding" VBD:"applauded" VBN:"applauded"
VB:"appliqu_e" VBZ:"appliqu_es" VBG:"appliqu_eing" VBD:"appliqu_eed" VBN:"appliqu_eed"
VB:"apply" VBZ:"applies" VBG:"applying" VBD:"applied" VBN:"applied"
VB:"appoint" VBZ:"appoints" VBG:"appointing" VBD:"appointed" VBN:"appointed"
VB:"apportion" VBZ:"apportions" VBG:"apportioning" VBD:"apportioned" VBN:"apportioned"
VB:"appraise" VBZ:"appraises" VBG:"appraising" VBD:"appraised" VBN:"appraised"
VB:"appreciate" VBZ:"appreciates" VBG:"appreciating" VBD:"appreciated" VBN:"appreciated"
VB:"apprehend" VBZ:"apprehends" VBG:"apprehending" VBD:"apprehended" VBN:"apprehended"
VB:"apprentice" VBZ:"apprentices" VBG:"apprenticing" VBD:"apprenticed" VBN:"apprenticed"
VB:"apprise" VBZ:"apprises" VBG:"apprising" VBD:"apprised" VBN:"apprised"
VB:"approach" VBZ:"approaches" VBG:"approaching" VBD:"approached" VBN:"approached"
VB:"appropriate" VBZ:"appropriates" VBG:"appropriating" VBD:"appropriated" VBN:"appropriated"
VB:"approve" VBZ:"approves" VBG:"approving" VBD:"approved" VBN:"approved"
VB:"approximate" VBZ:"approximates" VBG:"approximating" VBD:"approximated" VBN:"approximated"
VB:"aquaplane" VBZ:"aquaplanes" VBG:"aquaplaning" VBD:"aquaplaned" VBN:"aquaplaned"
VB:"arbitrate" VBZ:"arbitrates" VBG:"arbitrating" VBD:"arbitrated" VBN:"arbitrated"
VB:"arch" VBZ:"arches" VBG:"arching" VBD:"arched" VBN:"arched"
VB:"argue" VBZ:"argues" VBG:"arguing" VBD:"argued" VBN:"argued"
VB:"arise" VBZ:"arises" VBG:"arising" VBD:"arose" VBN:"arisen"
VB:"arm" VBZ:"arms" VBG:"arming" VBD:"armed" VBN:"armed"
VB:"arouse" VBZ:"arouses" VBG:"arousing" VBD:"aroused" VBN:"aroused"
VB:"arraign" VBZ:"arraigns" VBG:"arraigning" VBD:"arraigned" VBN:"arraigned"
VB:"arrange" VBZ:"arranges" VBG:"arranging" VBD:"arranged" VBN:"arranged"
VB:"array" VBZ:"arrays" VBG:"arraying" VBD:"arrayed" VBN:"arrayed"
VB:"arrest" VBZ:"arrests" VBG:"arresting" VBD:"arrested" VBN:"arrested"
VB:"arrive" VBZ:"arrives" VBG:"arriving" VBD:"arrived" VBN:"arrived"
VB:"arrogate" VBZ:"arrogates" VBG:"arrogating" VBD:"arrogated" VBN:"arrogated"
VB:"article" VBZ:"articles" VBG:"articling" VBD:"articled" VBN:"articled"
VB:"articulate" VBZ:"articulates" VBG:"articulating" VBD:"articulated" VBN:"articulated"
VB:"ascend" VBZ:"ascends" VBG:"ascending" VBD:"ascended" VBN:"ascended"
VB:"ascertain" VBZ:"ascertains" VBG:"ascertaining" VBD:"ascertained" VBN:"ascertained"
VB:"ascribe" VBZ:"ascribes" VBG:"ascribing" VBD:"ascribed" VBN:"ascribed"
VB:"ask" VBZ:"asks" VBG:"asking" VBD:"asked" VBN:"asked"
VB:"asperse" VBZ:"asperses" VBG:"aspersing" VBD:"aspersed" VBN:"aspersed"
VB:"asphalt" VBZ:"asphalts" VBG:"asphalting" VBD:"asphalted" VBN:"asphalted"
VB:"asphyxiate" VBZ:"asphyxiates" VBG:"asphyxiating" VBD:"asphyxiated" VBN:"asphyxiated"
VB:"aspirate" VBZ:"aspirates" VBG:"aspirating" VBD:"aspirated" VBN:"aspirated"
VB:"aspire" VBZ:"aspires" VBG:"aspiring" VBD:"aspired" VBN:"aspired"
VB:"assail" VBZ:"assails" VBG:"assailing" VBD:"assailed" VBN:"assailed"
VB:"assassinate" VBZ:"assassinates" VBG:"assassinating" VBD:"assassinated" VBN:"assassinated"
VB:"assault" VBZ:"assaults" VBG:"assaulting" VBD:"assaulted" VBN:"assaulted"
VB:"assay" VBZ:"assays" VBG:"assaying" VBD:"assayed" VBN:"assayed"
VB:"assemble" VBZ:"assembles" VBG:"assembling" VBD:"assembled" VBN:"assembled"
VB:"assent" VBZ:"assents" VBG:"assenting" VBD:"assented" VBN:"assented"
VB:"assert" VBZ:"asserts" VBG:"asserting" VBD:"asserted" VBN:"asserted"
VB:"assess" VBZ:"assesses" VBG:"assessing" VBD:"assessed" VBN:"assessed"
VB:"asseverate" VBZ:"asseverates" VBG:"asseverating" VBD:"asseverated" VBN:"asseverated"
VB:"assign" VBZ:"assigns" VBG:"assigning" VBD:"assigned" VBN:"assigned"
VB:"assimilate" VBZ:"assimilates" VBG:"assimilating" VBD:"assimilated" VBN:"assimilated"
VB:"assist" VBZ:"assists" VBG:"assisting" VBD:"assisted" VBN:"assisted"
VB:"associate" VBZ:"associates" VBG:"associating" VBD:"associated" VBN:"associated"
VB:"assuage" VBZ:"assuages" VBG:"assuaging" VBD:"assuaged" VBN:"assuaged"
VB:"assume" VBZ:"assumes" VBG:"assuming" VBD:"assumed" VBN:"assumed"
VB:"assure" VBZ:"assures" VBG:"assuring" VBD:"assured" VBN:"assured"
VB:"astonish" VBZ:"astonishes" VBG:"astonishing" VBD:"astonished" VBN:"astonished"
VB:"astound" VBZ:"astounds" VBG:"astounding" VBD:"astounded" VBN:"astounded"
VB:"atomize" VBZ:"atomizes" VBG:"atomizing" VBD:"atomized" VBN:"atomized"
VB:"atone" VBZ:"atones" VBG:"atoning" VBD:"atoned" VBN:"atoned"
VB:"atrophy" VBZ:"atrophies" VBG:"atrophying" VBD:"atrophied" VBN:"atrophied"
VB:"attach" VBZ:"attaches" VBG:"attaching" VBD:"attached" VBN:"attached"
VB:"attack" VBZ:"attacks" VBG:"attacking" VBD:"attacked" VBN:"attacked"
VB:"attain" VBZ:"attains" VBG:"attaining" VBD:"attained" VBN:"attained"
VB:"attempt" VBZ:"attempts" VBG:"attempting" VBD:"attempted" VBN:"attempted"
VB:"attend" VBZ:"attends" VBG:"attending" VBD:"attended" VBN:"attended"
VB:"attenuate" VBZ:"attenuates" VBG:"attenuating" VBD:"attenuated" VBN:"attenuated"
VB:"attest" VBZ:"attests" VBG:"attesting" VBD:"attested" VBN:"attested"
VB:"attire" VBZ:"attires" VBG:"attiring" VBD:"attired" VBN:"attired"
VB:"attitudinize" VBZ:"attitudinizes" VBG:"attitudinizing" VBD:"attitudinized" VBN:"attitudinized"
VB:"attract" VBZ:"attracts" VBG:"attracting" VBD:"attracted" VBN:"attracted"
VB:"attribute" VBZ:"attributes" VBG:"attributing" VBD:"attributed" VBN:"attributed"
VB:"attune" VBZ:"attunes" VBG:"attuning" VBD:"attuned" VBN:"attuned"
VB:"auction" VBZ:"auctions" VBG:"auctioning" VBD:"auctioned" VBN:"auctioned"
VB:"audit" VBZ:"audits" VBG:"auditing" VBD:"audited" VBN:"audited"
VB:"audition" VBZ:"auditions" VBG:"auditioning" VBD:"auditioned" VBN:"auditioned"
VB:"augment" VBZ:"augments" VBG:"augmenting" VBD:"augmented" VBN:"augmented"
VB:"augur" VBZ:"augurs" VBG:"auguring" VBD:"augured" VBN:"augured"
VB:"authenticate" VBZ:"authenticates" VBG:"authenticating" VBD:"authenticated" VBN:"authenticated"
VB:"authorize" VBZ:"authorizes" VBG:"authorizing" VBD:"authorized" VBN:"authorized"
VB:"autograph" VBZ:"autographs" VBG:"autographing" VBD:"autographed" VBN:"autographed"
VB:"automate" VBZ:"automates" VBG:"automating" VBD:"automated" VBN:"automated"
VB:"avail" VBZ:"avails" VBG:"availing" VBD:"availed" VBN:"availed"
VB:"avenge" VBZ:"avenges" VBG:"avenging" VBD:"avenged" VBN:"avenged"
VB:"aver" VBZ:"avers" VBG:"averring" VBD:"averred" VBN:"averred"
VB:"average" VBZ:"averages" VBG:"averaging" VBD:"averaged" VBN:"averaged"
VB:"avert" VBZ:"averts" VBG:"averting" VBD:"averted" VBN:"averted"
VB:"avoid" VBZ:"avoids" VBG:"avoiding" VBD:"avoided" VBN:"avoided"
VB:"avouch" VBZ:"avouches" VBG:"avouching" VBD:"avouched" VBN:"avouched"
VB:"avow" VBZ:"avows" VBG:"avowing" VBD:"avowed" VBN:"avowed"
VB:"await" VBZ:"awaits" VBG:"awaiting" VBD:"awaited" VBN:"awaited"
VB:"awake" VBZ:"awakes" VBG:"awaking" VBD:"awoke" VBN:"awoken"
VB:"awaken" VBZ:"awakens" VBG:"awakening" VBD:"awakened" VBN:"awakened"
VB:"award" VBZ:"awards" VBG:"awarding" VBD:"awarded" VBN:"awarded"
VB:"awe" VBZ:"awes" VBG:"awing" VBD:"awed" VBN:"awed"
VB:"ax" VBZ:"axes" VBG:"axing" VBD:"axed" VBN:"axed"
VB:"axe" VBZ:"axes" VBG:"axing" VBD:"axed" VBN:"axed"
VB:"baa" VBZ:"baas" VBG:"baaing" VBD:"baaed" VBN:"baaed"
VB:"babble" VBZ:"babbles" VBG:"babbling" VBD:"babbled" VBN:"babbled"
VB:"baby" VBZ:"babies" VBG:"babying" VBD:"babied" VBN:"babied"
VB:"babysit" VBZ:"babysits" VBG:"babysitting" VBD:"babysat" VBN:"babysat"
VB:"back" VBZ:"backs" VBG:"backing" VBD:"backed" VBN:"backed"
VB:"backbite" VBZ:"backbites" VBG:"backbiting" VBD:"backbit" VBN:"backbitten"
VB:"backdate" VBZ:"backdates" VBG:"backdating" VBD:"backdated" VBN:"backdated"
VB:"backfire" VBZ:"backfires" VBG:"backfiring" VBD:"backfired" VBN:"backfired"
VB:"backpedal" VBZ:"backpedals" VBG:"backpedalling" VBD:"backpedalled" VBN:"backpedalled"
VB:"backslide" VBZ:"backslides" VBG:"backsliding" VBD:"backslid" VBN:"backslid"
VB:"backspace" VBZ:"backspaces" VBG:"backspacing" VBD:"backspaced" VBN:"backspaced"
VB:"badger" VBZ:"badgers" VBG:"badgering" VBD:"badgered" VBN:"badgered"
VB:"baffle" VBZ:"baffles" VBG:"baffling" VBD:"baffled" VBN:"baffled"
VB:"bag" VBZ:"bags" VBG:"bagging" VBD:"bagged" VBN:"bagged"
VB:"bail" VBZ:"bails" VBG:"bailing" VBD:"bailed" VBN:"bailed"
VB:"bait" VBZ:"baits" VBG:"baiting" VBD:"baited" VBN:"baited"
VB:"bake" VBZ:"bakes" VBG:"baking" VBD:"baked" VBN:"baked"
VB:"balance" VBZ:"balances" VBG:"balancing" VBD:"balanced" VBN:"balanced"
VB:"bale" VBZ:"bales" VBG:"baling" VBD:"baled" VBN:"baled"
VB:"balk" VBZ:"balks" VBG:"balking" VBD:"balked" VBN:"balked"
